YYYYMMDD,UVIEF,UVIEFerr,UVDEF,UVDEFerr,UVDEC,UVDECerr,UVDVF,UVDVFerr,UVDVC,UVDVCerr,UVDDF,UVDDFerr,UVDDC,UVDDCerr,CMF,ozone
20020701,8.758,0.505,5.080,0.335,-1.000,-1.000,9.437,0.820,-1.000,-1.000,2.648,0.278,-1.000,-1.000,-1.000,313.2
20020702,9.107,0.507,5.270,0.336,-1.000,-1.000,9.877,0.820,-1.000,-1.000,2.831,0.278,-1.000,-1.000,-1.000,304.2
20020703,8.076,0.502,4.700,0.333,-1.000,-1.000,8.565,0.815,-1.000,-1.000,2.304,0.276,-1.000,-1.000,-1.000,331.7
20020704,8.540,0.503,4.951,0.334,-1.000,-1.000,9.148,0.816,-1.000,-1.000,2.536,0.276,-1.000,-1.000,-1.000,318.0
20020705,7.650,0.499,4.459,0.331,-1.000,-1.000,8.016,0.811,-1.000,-1.000,2.097,0.275,-1.000,-1.000,-1.000,344.5
20020706,8.038,0.500,4.668,0.331,-1.000,-1.000,8.502,0.810,-1.000,-1.000,2.284,0.274,-1.000,-1.000,-1.000,331.7
20020707,6.964,0.495,4.075,0.328,-1.000,-1.000,7.142,0.805,-1.000,-1.000,1.779,0.273,-1.000,-1.000,-1.000,368.8
20020708,9.400,0.505,5.406,0.333,-1.000,-1.000,10.213,0.812,-1.000,-1.000,2.985,0.275,-1.000,-1.000,-1.000,295.1
20020709,8.478,0.500,4.896,0.330,-1.000,-1.000,9.041,0.807,-1.000,-1.000,2.503,0.273,-1.000,-1.000,-1.000,317.5
20020710,8.013,0.497,4.637,0.328,-1.000,-1.000,8.448,0.803,-1.000,-1.000,2.272,0.272,-1.000,-1.000,-1.000,330.4
20020711,7.245,0.493,4.212,0.326,-1.000,-1.000,7.474,0.798,-1.000,-1.000,1.906,0.270,-1.000,-1.000,-1.000,355.5
20020712,7.321,0.493,4.249,0.325,-1.000,-1.000,7.564,0.796,-1.000,-1.000,1.941,0.269,-1.000,-1.000,-1.000,352.1
20020713,7.342,0.492,4.255,0.324,-1.000,-1.000,7.584,0.794,-1.000,-1.000,1.951,0.269,-1.000,-1.000,-1.000,350.6
20020714,7.487,0.492,4.329,0.323,-1.000,-1.000,7.760,0.792,-1.000,-1.000,2.019,0.268,-1.000,-1.000,-1.000,344.7
20020715,7.050,0.489,4.085,0.322,-1.000,-1.000,7.206,0.788,-1.000,-1.000,1.817,0.267,-1.000,-1.000,-1.000,359.9
20020716,6.977,0.488,4.040,0.321,-1.000,-1.000,7.108,0.786,-1.000,-1.000,1.784,0.266,-1.000,-1.000,-1.000,362.0
20020717,7.791,0.491,4.476,0.321,-1.000,-1.000,8.117,0.785,-1.000,-1.000,2.162,0.266,-1.000,-1.000,-1.000,332.4
20020718,7.903,0.491,4.531,0.320,-1.000,-1.000,8.249,0.783,-1.000,-1.000,2.216,0.265,-1.000,-1.000,-1.000,328.1
20020719,7.310,0.487,4.203,0.318,-1.000,-1.000,7.501,0.779,-1.000,-1.000,1.935,0.264,-1.000,-1.000,-1.000,346.9
20020720,7.921,0.489,4.527,0.319,-1.000,-1.000,8.253,0.779,-1.000,-1.000,2.224,0.264,-1.000,-1.000,-1.000,325.9
20020721,8.070,0.489,4.600,0.318,-1.000,-1.000,8.429,0.776,-1.000,-1.000,2.296,0.262,-1.000,-1.000,-1.000,320.6
20020722,8.183,0.489,4.653,0.317,-1.000,-1.000,8.559,0.773,-1.000,-1.000,2.352,0.262,-1.000,-1.000,-1.000,316.4
20020723,8.380,0.489,4.752,0.317,-1.000,-1.000,8.793,0.772,-1.000,-1.000,2.449,0.261,-1.000,-1.000,-1.000,310.0
20020724,7.918,0.486,4.496,0.314,-1.000,-1.000,8.210,0.767,-1.000,-1.000,2.222,0.259,-1.000,-1.000,-1.000,322.2
20020725,7.338,0.482,4.176,0.311,-1.000,-1.000,7.483,0.760,-1.000,-1.000,1.947,0.257,-1.000,-1.000,-1.000,339.9
20020726,7.701,0.483,4.363,0.311,-1.000,-1.000,7.922,0.759,-1.000,-1.000,2.117,0.257,-1.000,-1.000,-1.000,326.7
20020727,6.963,0.478,3.960,0.308,-1.000,-1.000,7.003,0.752,-1.000,-1.000,1.777,0.255,-1.000,-1.000,-1.000,351.1
20020728,7.904,0.482,4.455,0.309,-1.000,-1.000,8.149,0.752,-1.000,-1.000,2.214,0.254,-1.000,-1.000,-1.000,318.3
20020729,7.589,0.479,4.279,0.307,-1.000,-1.000,7.752,0.748,-1.000,-1.000,2.064,0.253,-1.000,-1.000,-1.000,326.8
20020730,7.936,0.480,4.454,0.307,-1.000,-1.000,8.166,0.746,-1.000,-1.000,2.230,0.252,-1.000,-1.000,-1.000,314.9
20020731,6.916,0.473,3.904,0.302,-1.000,-1.000,6.909,0.738,-1.000,-1.000,1.756,0.250,-1.000,-1.000,-1.000,347.6
20020801,9.151,0.486,5.079,0.307,-1.000,-1.000,9.626,0.745,-1.000,-1.000,2.842,0.252,-1.000,-1.000,-1.000,281.8
20020802,8.210,0.478,4.571,0.303,-1.000,-1.000,8.464,0.736,-1.000,-1.000,2.363,0.249,-1.000,-1.000,-1.000,303.5
20020803,8.395,0.478,4.659,0.302,-1.000,-1.000,8.676,0.733,-1.000,-1.000,2.455,0.248,-1.000,-1.000,-1.000,297.3
20020804,7.655,0.472,4.259,0.298,-1.000,-1.000,7.765,0.724,-1.000,-1.000,2.096,0.245,-1.000,-1.000,-1.000,316.7
20020805,8.162,0.474,4.516,0.298,-1.000,-1.000,8.366,0.723,-1.000,-1.000,2.340,0.244,-1.000,-1.000,-1.000,300.8
20020806,6.686,0.463,3.732,0.292,-1.000,-1.000,6.573,0.711,-1.000,-1.000,1.657,0.241,-1.000,-1.000,-1.000,347.2
20020807,5.671,0.456,3.191,0.288,-1.000,-1.000,5.345,0.702,-1.000,-1.000,1.237,0.238,-1.000,-1.000,-1.000,392.3
20020808,6.418,0.458,3.574,0.288,-1.000,-1.000,6.232,0.701,-1.000,-1.000,1.543,0.237,-1.000,-1.000,-1.000,354.6
20020809,6.840,0.459,3.785,0.287,-1.000,-1.000,6.727,0.699,-1.000,-1.000,1.726,0.236,-1.000,-1.000,-1.000,336.1
20020810,7.774,0.464,4.261,0.288,-1.000,-1.000,7.833,0.699,-1.000,-1.000,2.156,0.236,-1.000,-1.000,-1.000,303.9
20020811,7.606,0.461,4.163,0.286,-1.000,-1.000,7.620,0.693,-1.000,-1.000,2.077,0.234,-1.000,-1.000,-1.000,307.2
20020812,7.620,0.460,4.160,0.285,-1.000,-1.000,7.623,0.689,-1.000,-1.000,2.084,0.233,-1.000,-1.000,-1.000,305.1
20020813,7.094,0.454,3.878,0.281,-1.000,-1.000,6.986,0.680,-1.000,-1.000,1.843,0.230,-1.000,-1.000,-1.000,319.8
20020814,6.986,0.451,3.812,0.279,-1.000,-1.000,6.847,0.675,-1.000,-1.000,1.796,0.228,-1.000,-1.000,-1.000,321.6
20020815,7.068,0.450,3.844,0.277,-1.000,-1.000,6.932,0.671,-1.000,-1.000,1.833,0.227,-1.000,-1.000,-1.000,316.9
20020816,7.289,0.449,3.947,0.275,-1.000,-1.000,7.181,0.666,-1.000,-1.000,1.936,0.225,-1.000,-1.000,-1.000,307.7
20020817,6.764,0.442,3.668,0.271,-1.000,-1.000,6.553,0.657,-1.000,-1.000,1.702,0.222,-1.000,-1.000,-1.000,323.1
20020818,7.559,0.445,4.063,0.271,-1.000,-1.000,7.474,0.656,-1.000,-1.000,2.064,0.222,-1.000,-1.000,-1.000,295.5
20020819,6.997,0.438,3.765,0.267,-1.000,-1.000,6.803,0.646,-1.000,-1.000,1.809,0.218,-1.000,-1.000,-1.000,310.7
20020820,7.314,0.437,3.916,0.265,-1.000,-1.000,7.162,0.642,-1.000,-1.000,1.955,0.217,-1.000,-1.000,-1.000,298.5
20020821,6.440,0.428,3.462,0.260,-1.000,-1.000,6.135,0.631,-1.000,-1.000,1.570,0.214,-1.000,-1.000,-1.000,325.9
20020822,7.082,0.429,3.776,0.259,-1.000,-1.000,6.869,0.628,-1.000,-1.000,1.853,0.212,-1.000,-1.000,-1.000,301.3
20020823,6.885,0.424,3.666,0.256,-1.000,-1.000,6.629,0.621,-1.000,-1.000,1.767,0.210,-1.000,-1.000,-1.000,305.3
20020824,6.673,0.420,3.548,0.253,-1.000,-1.000,6.373,0.614,-1.000,-1.000,1.677,0.208,-1.000,-1.000,-1.000,310.0
