YYYYMMDD,UVIEF,UVIEFerr,UVDEF,UVDEFerr,UVDEC,UVDECerr,UVDVF,UVDVFerr,UVDVC,UVDVCerr,UVDDF,UVDDFerr,UVDDC,UVDDCerr,CMF,ozone
20020701,9.170,0.548,5.041,0.345,-1.000,-1.000,9.292,0.854,-1.000,-1.000,2.547,0.290,-1.000,-1.000,-1.000,340.7
20020702,10.188,0.548,5.569,0.345,-1.000,-1.000,10.514,0.854,-1.000,-1.000,3.049,0.290,-1.000,-1.000,-1.000,315.5
20020703,10.632,0.548,5.797,0.345,-1.000,-1.000,11.045,0.854,-1.000,-1.000,3.276,0.290,-1.000,-1.000,-1.000,305.9
20020704,10.907,0.548,5.938,0.345,-1.000,-1.000,11.372,0.853,-1.000,-1.000,3.420,0.290,-1.000,-1.000,-1.000,300.3
20020705,11.029,0.548,5.998,0.344,-1.000,-1.000,11.513,0.853,-1.000,-1.000,3.483,0.290,-1.000,-1.000,-1.000,297.8
20020706,10.778,0.548,5.864,0.344,-1.000,-1.000,11.205,0.852,-1.000,-1.000,3.349,0.289,-1.000,-1.000,-1.000,302.5
20020707,10.005,0.547,5.459,0.343,-1.000,-1.000,10.269,0.851,-1.000,-1.000,2.951,0.289,-1.000,-1.000,-1.000,319.0
20020708,11.216,0.548,6.084,0.343,-1.000,-1.000,11.719,0.850,-1.000,-1.000,3.579,0.289,-1.000,-1.000,-1.000,293.8
20020709,11.889,0.548,6.428,0.343,-1.000,-1.000,12.521,0.850,-1.000,-1.000,3.944,0.289,-1.000,-1.000,-1.000,281.7
20020710,10.305,0.547,5.603,0.342,-1.000,-1.000,10.610,0.848,-1.000,-1.000,3.099,0.288,-1.000,-1.000,-1.000,311.7
20020711,10.446,0.547,5.672,0.342,-1.000,-1.000,10.772,0.846,-1.000,-1.000,3.170,0.287,-1.000,-1.000,-1.000,308.4
20020712,11.152,0.547,6.033,0.341,-1.000,-1.000,11.611,0.845,-1.000,-1.000,3.538,0.287,-1.000,-1.000,-1.000,294.1
20020713,11.587,0.547,6.252,0.341,-1.000,-1.000,12.123,0.844,-1.000,-1.000,3.770,0.287,-1.000,-1.000,-1.000,286.0
20020714,10.808,0.546,5.844,0.340,-1.000,-1.000,11.181,0.843,-1.000,-1.000,3.353,0.286,-1.000,-1.000,-1.000,300.3
20020715,11.239,0.546,6.061,0.340,-1.000,-1.000,11.687,0.842,-1.000,-1.000,3.579,0.286,-1.000,-1.000,-1.000,291.8
20020716,11.521,0.545,6.201,0.339,-1.000,-1.000,12.015,0.840,-1.000,-1.000,3.729,0.285,-1.000,-1.000,-1.000,286.3
20020717,10.934,0.544,5.893,0.339,-1.000,-1.000,11.304,0.838,-1.000,-1.000,3.414,0.285,-1.000,-1.000,-1.000,296.8
20020718,9.644,0.543,5.223,0.338,-1.000,-1.000,9.757,0.836,-1.000,-1.000,2.758,0.284,-1.000,-1.000,-1.000,324.4
20020719,11.201,0.543,6.018,0.337,-1.000,-1.000,11.602,0.834,-1.000,-1.000,3.553,0.283,-1.000,-1.000,-1.000,291.0
20020720,10.379,0.542,5.589,0.336,-1.000,-1.000,10.613,0.832,-1.000,-1.000,3.123,0.282,-1.000,-1.000,-1.000,306.9
20020721,9.348,0.541,5.053,0.335,-1.000,-1.000,9.379,0.829,-1.000,-1.000,2.612,0.282,-1.000,-1.000,-1.000,330.5
20020722,9.724,0.540,5.241,0.334,-1.000,-1.000,9.816,0.828,-1.000,-1.000,2.793,0.281,-1.000,-1.000,-1.000,320.7
20020723,10.770,0.540,5.769,0.334,-1.000,-1.000,11.046,0.826,-1.000,-1.000,3.320,0.281,-1.000,-1.000,-1.000,297.5
20020724,10.564,0.539,5.657,0.333,-1.000,-1.000,10.790,0.824,-1.000,-1.000,3.212,0.280,-1.000,-1.000,-1.000,301.2
20020725,9.969,0.538,5.346,0.331,-1.000,-1.000,10.076,0.821,-1.000,-1.000,2.911,0.279,-1.000,-1.000,-1.000,313.4
20020726,10.491,0.537,5.605,0.331,-1.000,-1.000,10.681,0.819,-1.000,-1.000,3.172,0.278,-1.000,-1.000,-1.000,301.6
20020727,10.715,0.537,5.712,0.330,-1.000,-1.000,10.934,0.816,-1.000,-1.000,3.286,0.277,-1.000,-1.000,-1.000,296.6
20020728,11.101,0.536,5.900,0.329,-1.000,-1.000,11.376,0.814,-1.000,-1.000,3.486,0.277,-1.000,-1.000,-1.000,288.7
20020729,10.649,0.535,5.662,0.328,-1.000,-1.000,10.831,0.812,-1.000,-1.000,3.249,0.276,-1.000,-1.000,-1.000,296.7
20020730,11.523,0.535,6.097,0.327,-1.000,-1.000,11.846,0.810,-1.000,-1.000,3.707,0.275,-1.000,-1.000,-1.000,280.0
20020731,10.435,0.533,5.538,0.325,-1.000,-1.000,10.555,0.805,-1.000,-1.000,3.137,0.273,-1.000,-1.000,-1.000,299.8
20020801,10.880,0.532,5.754,0.325,-1.000,-1.000,11.063,0.803,-1.000,-1.000,3.364,0.273,-1.000,-1.000,-1.000,290.3
20020802,9.565,0.530,5.082,0.323,-1.000,-1.000,9.512,0.800,-1.000,-1.000,2.704,0.271,-1.000,-1.000,-1.000,317.7
20020803,9.714,0.529,5.149,0.322,-1.000,-1.000,9.674,0.797,-1.000,-1.000,2.775,0.271,-1.000,-1.000,-1.000,313.4
20020804,9.722,0.528,5.144,0.321,-1.000,-1.000,9.671,0.794,-1.000,-1.000,2.778,0.270,-1.000,-1.000,-1.000,312.5
20020805,10.154,0.527,5.353,0.319,-1.000,-1.000,10.161,0.790,-1.000,-1.000,2.990,0.268,-1.000,-1.000,-1.000,302.1
20020806,9.643,0.525,5.088,0.318,-1.000,-1.000,9.555,0.787,-1.000,-1.000,2.738,0.267,-1.000,-1.000,-1.000,312.7
20020807,9.541,0.524,5.029,0.317,-1.000,-1.000,9.425,0.784,-1.000,-1.000,2.689,0.266,-1.000,-1.000,-1.000,314.2
20020808,9.787,0.522,5.143,0.316,-1.000,-1.000,9.696,0.781,-1.000,-1.000,2.807,0.265,-1.000,-1.000,-1.000,307.6
20020809,9.506,0.521,4.994,0.314,-1.000,-1.000,9.360,0.777,-1.000,-1.000,2.671,0.264,-1.000,-1.000,-1.000,313.2
20020810,9.458,0.519,4.961,0.312,-1.000,-1.000,9.292,0.773,-1.000,-1.000,2.647,0.263,-1.000,-1.000,-1.000,313.4
20020811,9.288,0.518,4.867,0.311,-1.000,-1.000,9.083,0.770,-1.000,-1.000,2.566,0.261,-1.000,-1.000,-1.000,316.5
20020812,9.154,0.516,4.792,0.310,-1.000,-1.000,8.917,0.766,-1.000,-1.000,2.503,0.260,-1.000,-1.000,-1.000,318.8
20020813,9.633,0.515,5.021,0.308,-1.000,-1.000,9.455,0.763,-1.000,-1.000,2.730,0.259,-1.000,-1.000,-1.000,306.2
20020814,9.747,0.513,5.068,0.307,-1.000,-1.000,9.572,0.759,-1.000,-1.000,2.784,0.258,-1.000,-1.000,-1.000,302.6
20020815,9.815,0.512,5.092,0.305,-1.000,-1.000,9.637,0.755,-1.000,-1.000,2.817,0.256,-1.000,-1.000,-1.000,300.0
20020816,10.085,0.510,5.216,0.304,-1.000,-1.000,9.931,0.751,-1.000,-1.000,2.950,0.255,-1.000,-1.000,-1.000,293.1
20020817,9.295,0.507,4.816,0.302,-1.000,-1.000,9.017,0.746,-1.000,-1.000,2.569,0.254,-1.000,-1.000,-1.000,309.6
20020818,9.263,0.505,4.791,0.300,-1.000,-1.000,8.969,0.742,-1.000,-1.000,2.554,0.252,-1.000,-1.000,-1.000,309.1
20020819,8.541,0.503,4.427,0.298,-1.000,-1.000,8.138,0.738,-1.000,-1.000,2.224,0.251,-1.000,-1.000,-1.000,326.6
20020820,9.573,0.501,4.924,0.296,-1.000,-1.000,9.294,0.733,-1.000,-1.000,2.702,0.249,-1.000,-1.000,-1.000,299.3
20020821,8.729,0.499,4.501,0.294,-1.000,-1.000,8.327,0.728,-1.000,-1.000,2.310,0.247,-1.000,-1.000,-1.000,318.6
20020822,9.721,0.497,4.976,0.293,-1.000,-1.000,9.436,0.724,-1.000,-1.000,2.775,0.246,-1.000,-1.000,-1.000,293.3
20020823,9.163,0.495,4.694,0.291,-1.000,-1.000,8.794,0.720,-1.000,-1.000,2.512,0.245,-1.000,-1.000,-1.000,304.7
20020824,9.288,0.492,4.745,0.289,-1.000,-1.000,8.921,0.715,-1.000,-1.000,2.571,0.243,-1.000,-1.000,-1.000,300.3
20020825,8.961,0.490,4.576,0.287,-1.000,-1.000,8.542,0.710,-1.000,-1.000,2.420,0.241,-1.000,-1.000,-1.000,306.7
20020826,9.027,0.488,4.598,0.285,-1.000,-1.000,8.603,0.705,-1.000,-1.000,2.451,0.240,-1.000,-1.000,-1.000,303.5
20020827,8.255,0.485,4.214,0.283,-1.000,-1.000,7.729,0.700,-1.000,-1.000,2.105,0.238,-1.000,-1.000,-1.000,322.3
20020828,9.183,0.483,4.653,0.281,-1.000,-1.000,8.753,0.696,-1.000,-1.000,2.527,0.237,-1.000,-1.000,-1.000,296.6
20020829,8.917,0.480,4.515,0.279,-1.000,-1.000,8.444,0.690,-1.000,-1.000,2.405,0.234,-1.000,-1.000,-1.000,301.4
20020830,8.595,0.477,4.350,0.277,-1.000,-1.000,8.075,0.685,-1.000,-1.000,2.260,0.233,-1.000,-1.000,-1.000,307.8
20020831,9.031,0.475,4.549,0.275,-1.000,-1.000,8.547,0.680,-1.000,-1.000,2.461,0.231,-1.000,-1.000,-1.000,295.3
20020901,8.813,0.472,4.435,0.273,-1.000,-1.000,8.293,0.675,-1.000,-1.000,2.363,0.230,-1.000,-1.000,-1.000,298.8
20020902,8.930,0.470,4.480,0.271,-1.000,-1.000,8.410,0.670,-1.000,-1.000,2.418,0.228,-1.000,-1.000,-1.000,294.2
20020903,8.202,0.467,4.123,0.268,-1.000,-1.000,7.597,0.663,-1.000,-1.000,2.094,0.226,-1.000,-1.000,-1.000,311.1
20020904,8.837,0.464,4.415,0.266,-1.000,-1.000,8.284,0.659,-1.000,-1.000,2.380,0.224,-1.000,-1.000,-1.000,292.8
20020905,8.743,0.461,4.360,0.264,-1.000,-1.000,8.168,0.653,-1.000,-1.000,2.339,0.222,-1.000,-1.000,-1.000,293.2
20020906,8.334,0.458,4.156,0.262,-1.000,-1.000,7.710,0.648,-1.000,-1.000,2.158,0.220,-1.000,-1.000,-1.000,301.6
20020907,8.207,0.455,4.086,0.260,-1.000,-1.000,7.560,0.642,-1.000,-1.000,2.105,0.218,-1.000,-1.000,-1.000,303.0
20020908,7.861,0.452,3.913,0.257,-1.000,-1.000,7.174,0.636,-1.000,-1.000,1.957,0.216,-1.000,-1.000,-1.000,310.6
20020909,7.839,0.449,3.893,0.255,-1.000,-1.000,7.140,0.631,-1.000,-1.000,1.950,0.215,-1.000,-1.000,-1.000,309.0
20020910,8.609,0.447,4.245,0.253,-1.000,-1.000,7.965,0.626,-1.000,-1.000,2.292,0.213,-1.000,-1.000,-1.000,286.6
20020911,8.419,0.443,4.146,0.251,-1.000,-1.000,7.747,0.620,-1.000,-1.000,2.209,0.211,-1.000,-1.000,-1.000,289.2
20020912,8.289,0.440,4.075,0.248,-1.000,-1.000,7.596,0.614,-1.000,-1.000,2.155,0.209,-1.000,-1.000,-1.000,290.3
20020913,7.808,0.437,3.840,0.246,-1.000,-1.000,7.068,0.608,-1.000,-1.000,1.948,0.207,-1.000,-1.000,-1.000,301.0
20020914,8.352,0.434,4.084,0.244,-1.000,-1.000,7.642,0.602,-1.000,-1.000,2.189,0.205,-1.000,-1.000,-1.000,284.3
20020915,8.318,0.431,4.058,0.242,-1.000,-1.000,7.595,0.597,-1.000,-1.000,2.177,0.203,-1.000,-1.000,-1.000,283.0
20020916,8.399,0.428,4.085,0.239,-1.000,-1.000,7.670,0.590,-1.000,-1.000,2.216,0.201,-1.000,-1.000,-1.000,278.8
20020917,8.562,0.425,4.150,0.237,-1.000,-1.000,7.833,0.585,-1.000,-1.000,2.293,0.199,-1.000,-1.000,-1.000,272.8
20020918,8.288,0.421,4.013,0.235,-1.000,-1.000,7.531,0.579,-1.000,-1.000,2.174,0.197,-1.000,-1.000,-1.000,277.0
20020919,8.197,0.418,3.961,0.232,-1.000,-1.000,7.423,0.574,-1.000,-1.000,2.137,0.195,-1.000,-1.000,-1.000,276.9
20020920,7.705,0.414,3.724,0.230,-1.000,-1.000,6.891,0.568,-1.000,-1.000,1.927,0.194,-1.000,-1.000,-1.000,287.3
20020921,7.812,0.411,3.764,0.227,-1.000,-1.000,6.995,0.561,-1.000,-1.000,1.976,0.191,-1.000,-1.000,-1.000,282.0
20020922,7.370,0.408,3.552,0.225,-1.000,-1.000,6.520,0.555,-1.000,-1.000,1.792,0.189,-1.000,-1.000,-1.000,291.7
20020923,6.808,0.404,3.286,0.222,-1.000,-1.000,5.922,0.549,-1.000,-1.000,1.567,0.187,-1.000,-1.000,-1.000,306.6
20020924,7.434,0.401,3.562,0.220,-1.000,-1.000,6.570,0.544,-1.000,-1.000,1.827,0.185,-1.000,-1.000,-1.000,284.7
20020925,8.260,0.398,3.927,0.218,-1.000,-1.000,7.424,0.539,-1.000,-1.000,2.189,0.184,-1.000,-1.000,-1.000,261.3
