YYYYMMDD,UVIEF,UVIEFerr,UVDEF,UVDEFerr,UVDEC,UVDECerr,UVDVF,UVDVFerr,UVDVC,UVDVCerr,UVDDF,UVDDFerr,UVDDC,UVDDCerr,CMF,ozone
20020701,9.551,0.525,5.366,0.339,-1.000,-1.000,10.061,0.839,-1.000,-1.000,2.875,0.285,-1.000,-1.000,-1.000,315.2
20020702,9.220,0.524,5.186,0.339,-1.000,-1.000,9.648,0.838,-1.000,-1.000,2.707,0.284,-1.000,-1.000,-1.000,323.2
20020703,10.168,0.525,5.690,0.339,-1.000,-1.000,10.815,0.838,-1.000,-1.000,3.197,0.285,-1.000,-1.000,-1.000,300.9
20020704,10.202,0.525,5.704,0.339,-1.000,-1.000,10.852,0.837,-1.000,-1.000,3.215,0.284,-1.000,-1.000,-1.000,299.9
20020705,10.069,0.525,5.630,0.338,-1.000,-1.000,10.682,0.835,-1.000,-1.000,3.144,0.283,-1.000,-1.000,-1.000,302.5
20020706,10.838,0.526,6.036,0.338,-1.000,-1.000,11.626,0.835,-1.000,-1.000,3.558,0.283,-1.000,-1.000,-1.000,286.7
20020707,9.859,0.524,5.510,0.337,-1.000,-1.000,10.412,0.832,-1.000,-1.000,3.033,0.283,-1.000,-1.000,-1.000,306.4
20020708,10.018,0.524,5.590,0.337,-1.000,-1.000,10.601,0.831,-1.000,-1.000,3.115,0.282,-1.000,-1.000,-1.000,302.6
20020709,10.623,0.524,5.907,0.337,-1.000,-1.000,11.339,0.830,-1.000,-1.000,3.439,0.282,-1.000,-1.000,-1.000,289.8
20020710,10.615,0.524,5.898,0.336,-1.000,-1.000,11.322,0.829,-1.000,-1.000,3.434,0.282,-1.000,-1.000,-1.000,289.6
20020711,10.504,0.523,5.833,0.335,-1.000,-1.000,11.176,0.827,-1.000,-1.000,3.373,0.281,-1.000,-1.000,-1.000,291.4
20020712,10.632,0.523,5.896,0.335,-1.000,-1.000,11.325,0.826,-1.000,-1.000,3.441,0.280,-1.000,-1.000,-1.000,288.5
20020713,10.765,0.523,5.960,0.334,-1.000,-1.000,11.480,0.824,-1.000,-1.000,3.514,0.280,-1.000,-1.000,-1.000,285.5
20020714,10.858,0.522,6.004,0.333,-1.000,-1.000,11.585,0.822,-1.000,-1.000,3.564,0.279,-1.000,-1.000,-1.000,283.3
20020715,9.928,0.520,5.506,0.332,-1.000,-1.000,10.436,0.819,-1.000,-1.000,3.064,0.278,-1.000,-1.000,-1.000,301.5
20020716,9.431,0.518,5.237,0.331,-1.000,-1.000,9.819,0.816,-1.000,-1.000,2.808,0.277,-1.000,-1.000,-1.000,312.4
20020717,9.513,0.517,5.274,0.330,-1.000,-1.000,9.911,0.814,-1.000,-1.000,2.849,0.276,-1.000,-1.000,-1.000,309.8
