YYYYMMDD,UVIEF,UVIEFerr,UVDEF,UVDEFerr,UVDEC,UVDECerr,UVDVF,UVDVFerr,UVDVC,UVDVCerr,UVDDF,UVDDFerr,UVDDC,UVDDCerr,CMF,ozone
20020701,2.086,0.164,0.880,0.077,-1.000,-1.000,1.319,0.185,-1.000,-1.000,0.280,0.065,-1.000,-1.000,-1.000,292.7
20020702,2.223,0.165,0.934,0.077,-1.000,-1.000,1.436,0.186,-1.000,-1.000,0.314,0.065,-1.000,-1.000,-1.000,278.4
20020703,2.146,0.165,0.905,0.078,-1.000,-1.000,1.370,0.187,-1.000,-1.000,0.294,0.065,-1.000,-1.000,-1.000,288.1
20020704,2.130,0.166,0.900,0.078,-1.000,-1.000,1.356,0.189,-1.000,-1.000,0.290,0.066,-1.000,-1.000,-1.000,291.3
20020705,2.119,0.166,0.896,0.079,-1.000,-1.000,1.346,0.190,-1.000,-1.000,0.286,0.066,-1.000,-1.000,-1.000,294.2
20020706,2.005,0.167,0.853,0.079,-1.000,-1.000,1.247,0.191,-1.000,-1.000,0.258,0.066,-1.000,-1.000,-1.000,310.4
20020707,1.981,0.168,0.845,0.079,-1.000,-1.000,1.225,0.192,-1.000,-1.000,0.251,0.067,-1.000,-1.000,-1.000,315.7
20020708,1.830,0.168,0.787,0.080,-1.000,-1.000,1.095,0.193,-1.000,-1.000,0.216,0.067,-1.000,-1.000,-1.000,341.1
20020709,1.891,0.169,0.812,0.080,-1.000,-1.000,1.146,0.194,-1.000,-1.000,0.229,0.068,-1.000,-1.000,-1.000,333.5
20020710,1.849,0.170,0.797,0.081,-1.000,-1.000,1.109,0.195,-1.000,-1.000,0.219,0.068,-1.000,-1.000,-1.000,342.8
20020711,1.946,0.172,0.836,0.082,-1.000,-1.000,1.192,0.197,-1.000,-1.000,0.240,0.069,-1.000,-1.000,-1.000,329.9
20020712,2.099,0.173,0.897,0.082,-1.000,-1.000,1.324,0.198,-1.000,-1.000,0.275,0.069,-1.000,-1.000,-1.000,311.1
20020713,2.133,0.174,0.912,0.083,-1.000,-1.000,1.352,0.200,-1.000,-1.000,0.283,0.070,-1.000,-1.000,-1.000,309.4
20020714,2.288,0.176,0.974,0.084,-1.000,-1.000,1.487,0.202,-1.000,-1.000,0.320,0.070,-1.000,-1.000,-1.000,293.8
20020715,2.125,0.177,0.912,0.084,-1.000,-1.000,1.343,0.203,-1.000,-1.000,0.279,0.071,-1.000,-1.000,-1.000,315.9
20020716,2.107,0.178,0.906,0.085,-1.000,-1.000,1.327,0.205,-1.000,-1.000,0.273,0.071,-1.000,-1.000,-1.000,321.2
20020717,2.199,0.180,0.944,0.086,-1.000,-1.000,1.406,0.207,-1.000,-1.000,0.294,0.072,-1.000,-1.000,-1.000,312.5
20020718,2.203,0.182,0.948,0.087,-1.000,-1.000,1.408,0.210,-1.000,-1.000,0.294,0.073,-1.000,-1.000,-1.000,315.1
