YYYYMMDD,UVIEF,UVIEFerr,UVDEF,UVDEFerr,UVDEC,UVDECerr,UVDVF,UVDVFerr,UVDVC,UVDVCerr,UVDDF,UVDDFerr,UVDDC,UVDDCerr,CMF,ozone
20020701,2.894,0.205,1.241,0.099,-1.000,-1.000,1.991,0.241,-1.000,-1.000,0.450,0.084,-1.000,-1.000,-1.000,289.6
20020702,2.866,0.206,1.231,0.099,-1.000,-1.000,1.965,0.242,-1.000,-1.000,0.442,0.084,-1.000,-1.000,-1.000,292.9
20020703,2.683,0.206,1.159,0.100,-1.000,-1.000,1.802,0.243,-1.000,-1.000,0.391,0.084,-1.000,-1.000,-1.000,310.5
20020704,2.691,0.207,1.163,0.100,-1.000,-1.000,1.808,0.244,-1.000,-1.000,0.393,0.084,-1.000,-1.000,-1.000,311.0
20020705,2.895,0.208,1.245,0.101,-1.000,-1.000,1.990,0.245,-1.000,-1.000,0.448,0.085,-1.000,-1.000,-1.000,294.1
20020706,2.805,0.209,1.211,0.101,-1.000,-1.000,1.909,0.246,-1.000,-1.000,0.422,0.085,-1.000,-1.000,-1.000,303.2
20020707,2.729,0.210,1.182,0.101,-1.000,-1.000,1.841,0.247,-1.000,-1.000,0.401,0.086,-1.000,-1.000,-1.000,311.8
20020708,2.679,0.211,1.163,0.102,-1.000,-1.000,1.795,0.249,-1.000,-1.000,0.386,0.086,-1.000,-1.000,-1.000,318.4
20020709,2.640,0.212,1.149,0.103,-1.000,-1.000,1.760,0.250,-1.000,-1.000,0.375,0.087,-1.000,-1.000,-1.000,324.2
20020710,2.686,0.213,1.168,0.103,-1.000,-1.000,1.800,0.252,-1.000,-1.000,0.386,0.087,-1.000,-1.000,-1.000,321.4
20020711,2.986,0.214,1.290,0.104,-1.000,-1.000,2.069,0.253,-1.000,-1.000,0.467,0.088,-1.000,-1.000,-1.000,296.3
20020712,3.281,0.216,1.410,0.105,-1.000,-1.000,2.335,0.256,-1.000,-1.000,0.551,0.089,-1.000,-1.000,-1.000,276.4
20020713,3.132,0.217,1.352,0.106,-1.000,-1.000,2.200,0.258,-1.000,-1.000,0.506,0.089,-1.000,-1.000,-1.000,288.8
20020714,3.055,0.218,1.323,0.106,-1.000,-1.000,2.130,0.260,-1.000,-1.000,0.482,0.090,-1.000,-1.000,-1.000,296.8
20020715,3.068,0.220,1.330,0.107,-1.000,-1.000,2.141,0.262,-1.000,-1.000,0.485,0.090,-1.000,-1.000,-1.000,297.9
20020716,2.649,0.221,1.163,0.108,-1.000,-1.000,1.761,0.264,-1.000,-1.000,0.369,0.091,-1.000,-1.000,-1.000,339.5
20020717,2.781,0.223,1.218,0.109,-1.000,-1.000,1.879,0.266,-1.000,-1.000,0.402,0.092,-1.000,-1.000,-1.000,328.5
20020718,2.854,0.225,1.250,0.110,-1.000,-1.000,1.944,0.268,-1.000,-1.000,0.420,0.093,-1.000,-1.000,-1.000,324.2
20020719,3.193,0.227,1.389,0.111,-1.000,-1.000,2.250,0.271,-1.000,-1.000,0.513,0.093,-1.000,-1.000,-1.000,298.3
20020720,3.360,0.229,1.458,0.112,-1.000,-1.000,2.401,0.274,-1.000,-1.000,0.560,0.094,-1.000,-1.000,-1.000,288.9
20020721,3.451,0.231,1.498,0.113,-1.000,-1.000,2.484,0.276,-1.000,-1.000,0.585,0.095,-1.000,-1.000,-1.000,285.4
20020722,3.943,0.234,1.700,0.115,-1.000,-1.000,2.935,0.279,-1.000,-1.000,0.737,0.096,-1.000,-1.000,-1.000,259.5
20020723,4.245,0.237,1.825,0.116,-1.000,-1.000,3.212,0.283,-1.000,-1.000,0.834,0.097,-1.000,-1.000,-1.000,247.6
20020724,4.384,0.240,1.885,0.117,-1.000,-1.000,3.341,0.286,-1.000,-1.000,0.878,0.098,-1.000,-1.000,-1.000,243.9
20020725,3.884,0.241,1.685,0.119,-1.000,-1.000,2.879,0.289,-1.000,-1.000,0.709,0.100,-1.000,-1.000,-1.000,270.2
20020726,4.207,0.244,1.820,0.120,-1.000,-1.000,3.178,0.293,-1.000,-1.000,0.812,0.101,-1.000,-1.000,-1.000,256.6
20020727,3.935,0.246,1.712,0.121,-1.000,-1.000,2.925,0.296,-1.000,-1.000,0.719,0.102,-1.000,-1.000,-1.000,272.9
20020728,3.984,0.249,1.735,0.123,-1.000,-1.000,2.970,0.299,-1.000,-1.000,0.732,0.103,-1.000,-1.000,-1.000,273.1
20020729,4.010,0.251,1.750,0.124,-1.000,-1.000,2.994,0.303,-1.000,-1.000,0.737,0.104,-1.000,-1.000,-1.000,274.5
20020730,4.014,0.254,1.755,0.126,-1.000,-1.000,2.997,0.306,-1.000,-1.000,0.735,0.105,-1.000,-1.000,-1.000,277.3
20020731,3.998,0.257,1.752,0.127,-1.000,-1.000,2.982,0.310,-1.000,-1.000,0.727,0.106,-1.000,-1.000,-1.000,281.1
20020801,4.202,0.260,1.839,0.129,-1.000,-1.000,3.172,0.314,-1.000,-1.000,0.790,0.108,-1.000,-1.000,-1.000,273.4
20020802,4.081,0.263,1.794,0.130,-1.000,-1.000,3.059,0.317,-1.000,-1.000,0.747,0.109,-1.000,-1.000,-1.000,282.7
20020803,4.606,0.268,2.014,0.133,-1.000,-1.000,3.550,0.323,-1.000,-1.000,0.919,0.111,-1.000,-1.000,-1.000,260.5
20020804,4.090,0.269,1.805,0.134,-1.000,-1.000,3.066,0.326,-1.000,-1.000,0.743,0.112,-1.000,-1.000,-1.000,288.6
20020805,4.329,0.273,1.908,0.136,-1.000,-1.000,3.290,0.331,-1.000,-1.000,0.818,0.113,-1.000,-1.000,-1.000,279.3
20020806,4.172,0.276,1.847,0.138,-1.000,-1.000,3.142,0.335,-1.000,-1.000,0.763,0.114,-1.000,-1.000,-1.000,290.7
20020807,4.038,0.278,1.796,0.139,-1.000,-1.000,3.015,0.338,-1.000,-1.000,0.716,0.116,-1.000,-1.000,-1.000,301.7
20020808,4.367,0.283,1.937,0.142,-1.000,-1.000,3.326,0.344,-1.000,-1.000,0.819,0.117,-1.000,-1.000,-1.000,287.1
20020809,4.651,0.288,2.059,0.144,-1.000,-1.000,3.594,0.349,-1.000,-1.000,0.910,0.119,-1.000,-1.000,-1.000,276.7
20020810,4.730,0.292,2.097,0.146,-1.000,-1.000,3.669,0.354,-1.000,-1.000,0.933,0.121,-1.000,-1.000,-1.000,276.3
20020811,4.832,0.296,2.145,0.148,-1.000,-1.000,3.767,0.359,-1.000,-1.000,0.964,0.122,-1.000,-1.000,-1.000,275.0
20020812,5.501,0.303,2.430,0.152,-1.000,-1.000,4.407,0.367,-1.000,-1.000,1.200,0.125,-1.000,-1.000,-1.000,252.4
20020813,5.665,0.308,2.504,0.155,-1.000,-1.000,4.566,0.372,-1.000,-1.000,1.257,0.127,-1.000,-1.000,-1.000,249.8
20020814,5.551,0.311,2.462,0.156,-1.000,-1.000,4.458,0.377,-1.000,-1.000,1.209,0.128,-1.000,-1.000,-1.000,256.5
20020815,5.506,0.315,2.449,0.159,-1.000,-1.000,4.417,0.382,-1.000,-1.000,1.187,0.130,-1.000,-1.000,-1.000,261.1
20020816,5.917,0.321,2.628,0.161,-1.000,-1.000,4.815,0.388,-1.000,-1.000,1.337,0.132,-1.000,-1.000,-1.000,250.4
20020817,6.133,0.326,2.725,0.164,-1.000,-1.000,5.026,0.394,-1.000,-1.000,1.416,0.134,-1.000,-1.000,-1.000,246.6
20020818,5.672,0.326,2.537,0.165,-1.000,-1.000,4.583,0.397,-1.000,-1.000,1.234,0.135,-1.000,-1.000,-1.000,264.2
20020819,5.799,0.330,2.596,0.167,-1.000,-1.000,4.708,0.403,-1.000,-1.000,1.277,0.137,-1.000,-1.000,-1.000,262.8
20020820,6.134,0.336,2.745,0.170,-1.000,-1.000,5.037,0.410,-1.000,-1.000,1.400,0.139,-1.000,-1.000,-1.000,255.0
20020821,5.852,0.337,2.632,0.172,-1.000,-1.000,4.765,0.413,-1.000,-1.000,1.287,0.140,-1.000,-1.000,-1.000,267.0
20020822,6.206,0.343,2.789,0.175,-1.000,-1.000,5.114,0.420,-1.000,-1.000,1.417,0.143,-1.000,-1.000,-1.000,258.6
20020823,6.177,0.346,2.783,0.177,-1.000,-1.000,5.088,0.425,-1.000,-1.000,1.400,0.144,-1.000,-1.000,-1.000,262.4
20020824,5.966,0.348,2.699,0.178,-1.000,-1.000,4.883,0.429,-1.000,-1.000,1.314,0.145,-1.000,-1.000,-1.000,272.3
20020825,5.974,0.352,2.710,0.180,-1.000,-1.000,4.895,0.434,-1.000,-1.000,1.312,0.147,-1.000,-1.000,-1.000,275.0
20020826,5.926,0.355,2.696,0.183,-1.000,-1.000,4.850,0.440,-1.000,-1.000,1.289,0.149,-1.000,-1.000,-1.000,279.8
20020827,6.023,0.359,2.744,0.185,-1.000,-1.000,4.947,0.446,-1.000,-1.000,1.320,0.151,-1.000,-1.000,-1.000,279.6
20020828,6.049,0.363,2.762,0.187,-1.000,-1.000,4.976,0.452,-1.000,-1.000,1.325,0.153,-1.000,-1.000,-1.000,281.8
20020829,6.341,0.369,2.895,0.190,-1.000,-1.000,5.269,0.459,-1.000,-1.000,1.432,0.155,-1.000,-1.000,-1.000,275.1
20020830,6.399,0.373,2.928,0.193,-1.000,-1.000,5.330,0.464,-1.000,-1.000,1.449,0.157,-1.000,-1.000,-1.000,276.2
20020831,5.953,0.373,2.741,0.194,-1.000,-1.000,4.889,0.468,-1.000,-1.000,1.274,0.158,-1.000,-1.000,-1.000,294.8
20020901,6.229,0.379,2.868,0.197,-1.000,-1.000,5.166,0.476,-1.000,-1.000,1.373,0.161,-1.000,-1.000,-1.000,288.0
20020902,6.380,0.384,2.941,0.200,-1.000,-1.000,5.320,0.482,-1.000,-1.000,1.425,0.163,-1.000,-1.000,-1.000,286.0
20020903,6.502,0.389,3.002,0.202,-1.000,-1.000,5.446,0.488,-1.000,-1.000,1.467,0.165,-1.000,-1.000,-1.000,285.1
20020904,6.124,0.389,2.843,0.204,-1.000,-1.000,5.070,0.492,-1.000,-1.000,1.318,0.166,-1.000,-1.000,-1.000,301.3
20020905,5.684,0.390,2.657,0.205,-1.000,-1.000,4.630,0.496,-1.000,-1.000,1.153,0.168,-1.000,-1.000,-1.000,322.2
20020906,6.100,0.397,2.847,0.208,-1.000,-1.000,5.051,0.504,-1.000,-1.000,1.299,0.170,-1.000,-1.000,-1.000,308.7
20020907,5.762,0.398,2.705,0.210,-1.000,-1.000,4.713,0.509,-1.000,-1.000,1.172,0.172,-1.000,-1.000,-1.000,325.7
20020908,5.973,0.403,2.805,0.213,-1.000,-1.000,4.928,0.516,-1.000,-1.000,1.243,0.174,-1.000,-1.000,-1.000,320.3
20020909,5.974,0.407,2.813,0.215,-1.000,-1.000,4.932,0.521,-1.000,-1.000,1.239,0.176,-1.000,-1.000,-1.000,323.5
20020910,5.665,0.409,2.683,0.217,-1.000,-1.000,4.620,0.526,-1.000,-1.000,1.124,0.178,-1.000,-1.000,-1.000,340.5
20020911,5.520,0.412,2.625,0.219,-1.000,-1.000,4.474,0.531,-1.000,-1.000,1.069,0.180,-1.000,-1.000,-1.000,351.0
20020912,6.800,0.425,3.202,0.225,-1.000,-1.000,5.783,0.544,-1.000,-1.000,1.537,0.184,-1.000,-1.000,-1.000,302.5
20020913,7.240,0.432,3.406,0.230,-1.000,-1.000,6.238,0.553,-1.000,-1.000,1.706,0.187,-1.000,-1.000,-1.000,291.6
20020914,7.862,0.442,3.693,0.234,-1.000,-1.000,6.884,0.563,-1.000,-1.000,1.959,0.190,-1.000,-1.000,-1.000,277.2
20020915,7.459,0.442,3.521,0.235,-1.000,-1.000,6.474,0.567,-1.000,-1.000,1.785,0.191,-1.000,-1.000,-1.000,290.8
20020916,7.148,0.442,3.390,0.236,-1.000,-1.000,6.158,0.570,-1.000,-1.000,1.654,0.192,-1.000,-1.000,-1.000,302.9
20020917,7.030,0.444,3.345,0.238,-1.000,-1.000,6.042,0.575,-1.000,-1.000,1.603,0.194,-1.000,-1.000,-1.000,309.5
20020918,7.546,0.451,3.586,0.242,-1.000,-1.000,6.582,0.584,-1.000,-1.000,1.806,0.197,-1.000,-1.000,-1.000,296.4
20020919,7.792,0.456,3.706,0.245,-1.000,-1.000,6.844,0.591,-1.000,-1.000,1.903,0.200,-1.000,-1.000,-1.000,292.1
20020920,7.777,0.459,3.707,0.247,-1.000,-1.000,6.834,0.597,-1.000,-1.000,1.892,0.201,-1.000,-1.000,-1.000,295.1
20020921,8.168,0.465,3.894,0.250,-1.000,-1.000,7.250,0.605,-1.000,-1.000,2.052,0.204,-1.000,-1.000,-1.000,287.2
20020922,8.270,0.469,3.949,0.253,-1.000,-1.000,7.365,0.611,-1.000,-1.000,2.092,0.206,-1.000,-1.000,-1.000,287.0
20020923,9.518,0.482,4.526,0.259,-1.000,-1.000,8.684,0.624,-1.000,-1.000,2.646,0.211,-1.000,-1.000,-1.000,261.6
20020924,9.256,0.482,4.417,0.261,-1.000,-1.000,8.418,0.629,-1.000,-1.000,2.520,0.212,-1.000,-1.000,-1.000,269.0
20020925,8.099,0.476,3.899,0.259,-1.000,-1.000,7.207,0.627,-1.000,-1.000,2.004,0.212,-1.000,-1.000,-1.000,298.8
20020926,7.707,0.476,3.728,0.260,-1.000,-1.000,6.801,0.630,-1.000,-1.000,1.836,0.213,-1.000,-1.000,-1.000,312.4
20020927,7.880,0.480,3.817,0.262,-1.000,-1.000,6.991,0.637,-1.000,-1.000,1.904,0.215,-1.000,-1.000,-1.000,309.7
20020928,8.598,0.488,4.156,0.267,-1.000,-1.000,7.759,0.646,-1.000,-1.000,2.206,0.218,-1.000,-1.000,-1.000,292.9
20020929,8.631,0.491,4.180,0.269,-1.000,-1.000,7.803,0.652,-1.000,-1.000,2.216,0.220,-1.000,-1.000,-1.000,294.3
20020930,9.094,0.497,4.404,0.273,-1.000,-1.000,8.305,0.660,-1.000,-1.000,2.417,0.223,-1.000,-1.000,-1.000,285.5
20021001,9.769,0.504,4.726,0.277,-1.000,-1.000,9.036,0.669,-1.000,-1.000,2.723,0.226,-1.000,-1.000,-1.000,273.2
20021002,8.669,0.499,4.227,0.275,-1.000,-1.000,7.869,0.668,-1.000,-1.000,2.220,0.226,-1.000,-1.000,-1.000,300.0
20021003,9.031,0.504,4.404,0.278,-1.000,-1.000,8.267,0.676,-1.000,-1.000,2.376,0.228,-1.000,-1.000,-1.000,293.3
20021004,9.676,0.511,4.714,0.282,-1.000,-1.000,8.969,0.684,-1.000,-1.000,2.666,0.231,-1.000,-1.000,-1.000,281.0
20021005,9.720,0.514,4.745,0.285,-1.000,-1.000,9.028,0.691,-1.000,-1.000,2.683,0.233,-1.000,-1.000,-1.000,282.0
20021006,9.145,0.512,4.487,0.285,-1.000,-1.000,8.419,0.693,-1.000,-1.000,2.416,0.234,-1.000,-1.000,-1.000,296.7
20021007,9.557,0.517,4.690,0.288,-1.000,-1.000,8.874,0.700,-1.000,-1.000,2.599,0.237,-1.000,-1.000,-1.000,289.3
20021008,9.432,0.519,4.641,0.290,-1.000,-1.000,8.749,0.704,-1.000,-1.000,2.538,0.238,-1.000,-1.000,-1.000,293.9
20021009,9.701,0.523,4.778,0.292,-1.000,-1.000,9.052,0.711,-1.000,-1.000,2.658,0.240,-1.000,-1.000,-1.000,289.9
20021010,10.044,0.527,4.950,0.296,-1.000,-1.000,9.437,0.718,-1.000,-1.000,2.816,0.243,-1.000,-1.000,-1.000,284.5
20021011,10.483,0.533,5.167,0.299,-1.000,-1.000,9.927,0.725,-1.000,-1.000,3.022,0.245,-1.000,-1.000,-1.000,277.6
20021012,9.868,0.531,4.887,0.299,-1.000,-1.000,9.268,0.727,-1.000,-1.000,2.726,0.246,-1.000,-1.000,-1.000,291.6
20021013,9.913,0.533,4.919,0.301,-1.000,-1.000,9.329,0.732,-1.000,-1.000,2.744,0.248,-1.000,-1.000,-1.000,292.4
20021014,9.831,0.535,4.891,0.302,-1.000,-1.000,9.251,0.737,-1.000,-1.000,2.703,0.249,-1.000,-1.000,-1.000,295.8
20021015,10.141,0.539,5.048,0.305,-1.000,-1.000,9.603,0.744,-1.000,-1.000,2.846,0.252,-1.000,-1.000,-1.000,290.9
20021016,9.805,0.540,4.899,0.307,-1.000,-1.000,9.245,0.747,-1.000,-1.000,2.685,0.253,-1.000,-1.000,-1.000,299.6
20021017,9.883,0.543,4.945,0.309,-1.000,-1.000,9.341,0.753,-1.000,-1.000,2.718,0.254,-1.000,-1.000,-1.000,299.6
20021018,10.178,0.547,5.097,0.312,-1.000,-1.000,9.680,0.759,-1.000,-1.000,2.855,0.257,-1.000,-1.000,-1.000,294.9
20021019,10.103,0.549,5.071,0.313,-1.000,-1.000,9.608,0.764,-1.000,-1.000,2.817,0.258,-1.000,-1.000,-1.000,298.0
20021020,10.146,0.552,5.102,0.316,-1.000,-1.000,9.668,0.770,-1.000,-1.000,2.834,0.260,-1.000,-1.000,-1.000,298.6
20021021,10.711,0.558,5.384,0.319,-1.000,-1.000,10.308,0.777,-1.000,-1.000,3.104,0.263,-1.000,-1.000,-1.000,288.6
20021022,10.469,0.558,5.278,0.320,-1.000,-1.000,10.051,0.781,-1.000,-1.000,2.984,0.264,-1.000,-1.000,-1.000,294.8
20021023,10.904,0.563,5.498,0.323,-1.000,-1.000,10.549,0.788,-1.000,-1.000,3.194,0.266,-1.000,-1.000,-1.000,287.7
20021024,10.270,0.562,5.202,0.324,-1.000,-1.000,9.853,0.789,-1.000,-1.000,2.884,0.267,-1.000,-1.000,-1.000,301.6
20021025,11.282,0.570,5.701,0.329,-1.000,-1.000,10.999,0.800,-1.000,-1.000,3.377,0.271,-1.000,-1.000,-1.000,283.3
20021026,11.163,0.572,5.654,0.330,-1.000,-1.000,10.879,0.804,-1.000,-1.000,3.316,0.272,-1.000,-1.000,-1.000,286.7
20021027,10.710,0.571,5.445,0.331,-1.000,-1.000,10.383,0.806,-1.000,-1.000,3.091,0.272,-1.000,-1.000,-1.000,296.5
20021028,10.457,0.572,5.332,0.332,-1.000,-1.000,10.112,0.809,-1.000,-1.000,2.967,0.273,-1.000,-1.000,-1.000,302.9
20021029,10.905,0.576,5.560,0.335,-1.000,-1.000,10.629,0.815,-1.000,-1.000,3.183,0.276,-1.000,-1.000,-1.000,295.1
20021030,11.180,0.580,5.704,0.337,-1.000,-1.000,10.953,0.821,-1.000,-1.000,3.318,0.278,-1.000,-1.000,-1.000,291.0
20021031,10.458,0.578,5.362,0.337,-1.000,-1.000,10.150,0.822,-1.000,-1.000,2.963,0.278,-1.000,-1.000,-1.000,306.3
20021101,11.237,0.584,5.752,0.341,-1.000,-1.000,11.044,0.830,-1.000,-1.000,3.344,0.281,-1.000,-1.000,-1.000,292.1
20021102,11.872,0.590,6.074,0.344,-1.000,-1.000,11.779,0.837,-1.000,-1.000,3.667,0.283,-1.000,-1.000,-1.000,281.9
20021103,11.194,0.588,5.751,0.344,-1.000,-1.000,11.022,0.838,-1.000,-1.000,3.321,0.283,-1.000,-1.000,-1.000,294.9
20021104,11.908,0.594,6.112,0.347,-1.000,-1.000,11.849,0.845,-1.000,-1.000,3.684,0.286,-1.000,-1.000,-1.000,283.2
20021105,11.799,0.595,6.068,0.349,-1.000,-1.000,11.739,0.849,-1.000,-1.000,3.627,0.287,-1.000,-1.000,-1.000,285.9
20021106,9.562,0.584,4.975,0.345,-1.000,-1.000,9.197,0.843,-1.000,-1.000,2.538,0.285,-1.000,-1.000,-1.000,333.6
20021107,9.913,0.587,5.157,0.347,-1.000,-1.000,9.609,0.848,-1.000,-1.000,2.700,0.286,-1.000,-1.000,-1.000,325.9
20021108,10.879,0.594,5.643,0.351,-1.000,-1.000,10.726,0.856,-1.000,-1.000,3.162,0.289,-1.000,-1.000,-1.000,305.6
20021109,11.541,0.599,5.980,0.354,-1.000,-1.000,11.499,0.862,-1.000,-1.000,3.493,0.291,-1.000,-1.000,-1.000,293.8
20021110,11.163,0.599,5.801,0.355,-1.000,-1.000,11.076,0.865,-1.000,-1.000,3.302,0.292,-1.000,-1.000,-1.000,301.7
20021111,10.548,0.597,5.505,0.354,-1.000,-1.000,10.381,0.865,-1.000,-1.000,3.000,0.292,-1.000,-1.000,-1.000,315.0
20021112,11.466,0.603,5.970,0.358,-1.000,-1.000,11.450,0.873,-1.000,-1.000,3.455,0.295,-1.000,-1.000,-1.000,297.5
20021113,11.916,0.607,6.203,0.360,-1.000,-1.000,11.982,0.878,-1.000,-1.000,3.686,0.297,-1.000,-1.000,-1.000,290.1
20021114,11.155,0.604,5.832,0.360,-1.000,-1.000,11.115,0.877,-1.000,-1.000,3.298,0.296,-1.000,-1.000,-1.000,304.8
20021115,13.139,0.618,6.831,0.366,-1.000,-1.000,13.427,0.891,-1.000,-1.000,4.340,0.302,-1.000,-1.000,-1.000,272.1
