YYYYMMDD,UVIEF,UVIEFerr,UVDEF,UVDEFerr,UVDEC,UVDECerr,UVDVF,UVDVFerr,UVDVC,UVDVCerr,UVDDF,UVDDFerr,UVDDC,UVDDCerr,CMF,ozone
20020701,12.959,0.566,6.790,0.343,-1.000,-1.000,13.391,0.850,-1.000,-1.000,4.367,0.289,-1.000,-1.000,-1.000,273.9
20020702,12.029,0.565,6.320,0.343,-1.000,-1.000,12.299,0.849,-1.000,-1.000,3.856,0.288,-1.000,-1.000,-1.000,288.5
20020703,12.917,0.566,6.764,0.343,-1.000,-1.000,13.333,0.850,-1.000,-1.000,4.341,0.288,-1.000,-1.000,-1.000,274.5
20020704,12.843,0.566,6.725,0.343,-1.000,-1.000,13.243,0.849,-1.000,-1.000,4.299,0.288,-1.000,-1.000,-1.000,275.5
20020705,11.973,0.565,6.284,0.343,-1.000,-1.000,12.220,0.848,-1.000,-1.000,3.823,0.288,-1.000,-1.000,-1.000,289.4
20020706,12.471,0.566,6.532,0.343,-1.000,-1.000,12.797,0.848,-1.000,-1.000,4.091,0.288,-1.000,-1.000,-1.000,281.1
20020707,11.728,0.565,6.156,0.342,-1.000,-1.000,11.924,0.847,-1.000,-1.000,3.690,0.287,-1.000,-1.000,-1.000,293.5
20020708,12.015,0.565,6.297,0.342,-1.000,-1.000,12.253,0.847,-1.000,-1.000,3.841,0.287,-1.000,-1.000,-1.000,288.5
20020709,11.566,0.565,6.068,0.342,-1.000,-1.000,11.724,0.846,-1.000,-1.000,3.602,0.287,-1.000,-1.000,-1.000,296.3
20020710,12.788,0.566,6.678,0.342,-1.000,-1.000,13.142,0.847,-1.000,-1.000,4.258,0.287,-1.000,-1.000,-1.000,276.0
20020711,13.083,0.566,6.822,0.342,-1.000,-1.000,13.479,0.846,-1.000,-1.000,4.420,0.287,-1.000,-1.000,-1.000,271.6
20020712,13.319,0.566,6.936,0.342,-1.000,-1.000,13.746,0.846,-1.000,-1.000,4.551,0.287,-1.000,-1.000,-1.000,268.2
20020713,14.891,0.568,7.718,0.342,-1.000,-1.000,15.570,0.847,-1.000,-1.000,5.466,0.288,-1.000,-1.000,-1.000,248.2
20020714,13.522,0.566,7.028,0.341,-1.000,-1.000,13.965,0.844,-1.000,-1.000,4.661,0.286,-1.000,-1.000,-1.000,265.2
20020715,13.518,0.566,7.021,0.341,-1.000,-1.000,13.951,0.843,-1.000,-1.000,4.656,0.286,-1.000,-1.000,-1.000,265.2
20020716,12.637,0.565,6.576,0.340,-1.000,-1.000,12.917,0.842,-1.000,-1.000,4.161,0.286,-1.000,-1.000,-1.000,277.8
20020717,12.122,0.564,6.314,0.339,-1.000,-1.000,12.310,0.840,-1.000,-1.000,3.880,0.285,-1.000,-1.000,-1.000,285.9
20020718,13.029,0.565,6.761,0.339,-1.000,-1.000,13.353,0.840,-1.000,-1.000,4.373,0.285,-1.000,-1.000,-1.000,271.7
20020719,12.142,0.564,6.314,0.339,-1.000,-1.000,12.315,0.838,-1.000,-1.000,3.886,0.284,-1.000,-1.000,-1.000,285.4
20020720,12.301,0.564,6.388,0.338,-1.000,-1.000,12.489,0.838,-1.000,-1.000,3.969,0.284,-1.000,-1.000,-1.000,282.6
20020721,11.755,0.563,6.110,0.338,-1.000,-1.000,11.848,0.836,-1.000,-1.000,3.677,0.284,-1.000,-1.000,-1.000,291.7
20020722,12.417,0.563,6.434,0.338,-1.000,-1.000,12.603,0.836,-1.000,-1.000,4.027,0.284,-1.000,-1.000,-1.000,280.5
20020723,12.328,0.563,6.384,0.337,-1.000,-1.000,12.490,0.834,-1.000,-1.000,3.976,0.283,-1.000,-1.000,-1.000,281.7
20020724,11.764,0.562,6.098,0.336,-1.000,-1.000,11.828,0.832,-1.000,-1.000,3.674,0.282,-1.000,-1.000,-1.000,291.0
20020725,12.103,0.562,6.260,0.336,-1.000,-1.000,12.208,0.831,-1.000,-1.000,3.850,0.282,-1.000,-1.000,-1.000,285.1
20020726,12.756,0.562,6.578,0.335,-1.000,-1.000,12.949,0.830,-1.000,-1.000,4.199,0.282,-1.000,-1.000,-1.000,274.5
20020727,12.347,0.561,6.369,0.335,-1.000,-1.000,12.466,0.828,-1.000,-1.000,3.975,0.281,-1.000,-1.000,-1.000,280.7
20020728,12.878,0.561,6.625,0.334,-1.000,-1.000,13.065,0.827,-1.000,-1.000,4.260,0.281,-1.000,-1.000,-1.000,272.3
20020729,12.952,0.561,6.654,0.334,-1.000,-1.000,13.137,0.826,-1.000,-1.000,4.298,0.280,-1.000,-1.000,-1.000,271.0
20020730,11.735,0.559,6.046,0.333,-1.000,-1.000,11.728,0.824,-1.000,-1.000,3.644,0.280,-1.000,-1.000,-1.000,290.2
20020731,13.144,0.560,6.734,0.333,-1.000,-1.000,13.331,0.823,-1.000,-1.000,4.398,0.280,-1.000,-1.000,-1.000,267.7
20020801,13.295,0.559,6.801,0.332,-1.000,-1.000,13.490,0.821,-1.000,-1.000,4.479,0.279,-1.000,-1.000,-1.000,265.3
20020802,12.214,0.558,6.262,0.330,-1.000,-1.000,12.240,0.818,-1.000,-1.000,3.888,0.278,-1.000,-1.000,-1.000,281.2
20020803,11.657,0.557,5.981,0.330,-1.000,-1.000,11.592,0.816,-1.000,-1.000,3.594,0.277,-1.000,-1.000,-1.000,290.3
20020804,11.490,0.556,5.892,0.329,-1.000,-1.000,11.389,0.814,-1.000,-1.000,3.505,0.276,-1.000,-1.000,-1.000,292.9
20020805,11.964,0.556,6.117,0.328,-1.000,-1.000,11.916,0.813,-1.000,-1.000,3.748,0.276,-1.000,-1.000,-1.000,284.3
20020806,11.296,0.555,5.782,0.327,-1.000,-1.000,11.143,0.811,-1.000,-1.000,3.402,0.275,-1.000,-1.000,-1.000,295.7
20020807,10.420,0.553,5.346,0.326,-1.000,-1.000,10.138,0.808,-1.000,-1.000,2.967,0.274,-1.000,-1.000,-1.000,312.8
20020808,11.596,0.553,5.914,0.325,-1.000,-1.000,11.460,0.806,-1.000,-1.000,3.551,0.274,-1.000,-1.000,-1.000,289.5
20020809,11.835,0.553,6.023,0.325,-1.000,-1.000,11.717,0.804,-1.000,-1.000,3.672,0.273,-1.000,-1.000,-1.000,284.9
20020810,12.605,0.552,6.390,0.324,-1.000,-1.000,12.575,0.802,-1.000,-1.000,4.076,0.272,-1.000,-1.000,-1.000,272.1
20020811,11.590,0.551,5.888,0.323,-1.000,-1.000,11.413,0.800,-1.000,-1.000,3.541,0.271,-1.000,-1.000,-1.000,288.2
20020812,11.683,0.550,5.925,0.322,-1.000,-1.000,11.505,0.797,-1.000,-1.000,3.587,0.271,-1.000,-1.000,-1.000,286.1
20020813,12.304,0.549,6.219,0.321,-1.000,-1.000,12.192,0.796,-1.000,-1.000,3.909,0.270,-1.000,-1.000,-1.000,275.3
20020814,11.869,0.548,5.999,0.320,-1.000,-1.000,11.687,0.792,-1.000,-1.000,3.679,0.269,-1.000,-1.000,-1.000,281.8
20020815,11.965,0.547,6.037,0.319,-1.000,-1.000,11.781,0.790,-1.000,-1.000,3.727,0.268,-1.000,-1.000,-1.000,279.7
20020816,12.049,0.546,6.069,0.318,-1.000,-1.000,11.862,0.787,-1.000,-1.000,3.769,0.267,-1.000,-1.000,-1.000,277.7
20020817,11.992,0.545,6.033,0.317,-1.000,-1.000,11.783,0.785,-1.000,-1.000,3.737,0.266,-1.000,-1.000,-1.000,278.1
