YYYYMMDD,UVIEF,UVIEFerr,UVDEF,UVDEFerr,UVDEC,UVDECerr,UVDVF,UVDVFerr,UVDVC,UVDVCerr,UVDDF,UVDDFerr,UVDDC,UVDDCerr,CMF,ozone
20020701,12.344,0.579,6.778,0.367,-1.000,-1.000,13.177,0.906,-1.000,-1.000,4.131,0.308,-1.000,-1.000,-1.000,281.8
20020702,11.740,0.578,6.457,0.366,-1.000,-1.000,12.435,0.904,-1.000,-1.000,3.798,0.307,-1.000,-1.000,-1.000,291.8
20020703,11.849,0.577,6.511,0.366,-1.000,-1.000,12.562,0.904,-1.000,-1.000,3.856,0.307,-1.000,-1.000,-1.000,289.8
20020704,12.556,0.578,6.879,0.366,-1.000,-1.000,13.418,0.904,-1.000,-1.000,4.248,0.307,-1.000,-1.000,-1.000,278.0
20020705,12.050,0.577,6.609,0.366,-1.000,-1.000,12.794,0.902,-1.000,-1.000,3.964,0.306,-1.000,-1.000,-1.000,286.0
20020706,11.741,0.576,6.443,0.365,-1.000,-1.000,12.412,0.900,-1.000,-1.000,3.794,0.306,-1.000,-1.000,-1.000,291.1
20020707,11.321,0.575,6.219,0.364,-1.000,-1.000,11.895,0.899,-1.000,-1.000,3.568,0.305,-1.000,-1.000,-1.000,298.5
20020708,12.119,0.576,6.633,0.364,-1.000,-1.000,12.857,0.898,-1.000,-1.000,3.999,0.305,-1.000,-1.000,-1.000,284.2
20020709,11.346,0.574,6.223,0.363,-1.000,-1.000,11.910,0.895,-1.000,-1.000,3.579,0.304,-1.000,-1.000,-1.000,297.5
20020710,12.520,0.576,6.832,0.363,-1.000,-1.000,13.327,0.896,-1.000,-1.000,4.220,0.304,-1.000,-1.000,-1.000,277.3
20020711,11.735,0.574,6.416,0.362,-1.000,-1.000,12.365,0.893,-1.000,-1.000,3.785,0.303,-1.000,-1.000,-1.000,289.9
20020712,11.883,0.574,6.488,0.361,-1.000,-1.000,12.536,0.892,-1.000,-1.000,3.864,0.303,-1.000,-1.000,-1.000,287.1
20020713,12.632,0.574,6.873,0.361,-1.000,-1.000,13.433,0.891,-1.000,-1.000,4.278,0.303,-1.000,-1.000,-1.000,274.7
20020714,12.562,0.574,6.830,0.361,-1.000,-1.000,13.338,0.890,-1.000,-1.000,4.237,0.302,-1.000,-1.000,-1.000,275.4
20020715,12.478,0.573,6.779,0.360,-1.000,-1.000,13.225,0.888,-1.000,-1.000,4.188,0.301,-1.000,-1.000,-1.000,276.4
20020716,13.381,0.574,7.242,0.359,-1.000,-1.000,14.305,0.886,-1.000,-1.000,4.702,0.301,-1.000,-1.000,-1.000,262.8
20020717,11.659,0.570,6.339,0.357,-1.000,-1.000,12.213,0.881,-1.000,-1.000,3.736,0.299,-1.000,-1.000,-1.000,289.1
20020718,11.265,0.568,6.127,0.356,-1.000,-1.000,11.728,0.878,-1.000,-1.000,3.525,0.298,-1.000,-1.000,-1.000,295.8
20020719,11.639,0.568,6.315,0.355,-1.000,-1.000,12.168,0.877,-1.000,-1.000,3.724,0.298,-1.000,-1.000,-1.000,288.5
20020720,12.205,0.568,6.600,0.355,-1.000,-1.000,12.836,0.875,-1.000,-1.000,4.031,0.297,-1.000,-1.000,-1.000,278.5
20020721,11.622,0.566,6.291,0.353,-1.000,-1.000,12.124,0.872,-1.000,-1.000,3.713,0.296,-1.000,-1.000,-1.000,287.8
20020722,12.094,0.565,6.527,0.353,-1.000,-1.000,12.677,0.870,-1.000,-1.000,3.967,0.295,-1.000,-1.000,-1.000,279.3
20020723,11.614,0.563,6.270,0.351,-1.000,-1.000,12.088,0.866,-1.000,-1.000,3.706,0.294,-1.000,-1.000,-1.000,286.8
20020724,11.163,0.562,6.029,0.349,-1.000,-1.000,11.536,0.862,-1.000,-1.000,3.466,0.293,-1.000,-1.000,-1.000,294.4
20020725,11.223,0.560,6.052,0.348,-1.000,-1.000,11.596,0.860,-1.000,-1.000,3.497,0.292,-1.000,-1.000,-1.000,292.7
20020726,11.289,0.559,6.077,0.347,-1.000,-1.000,11.661,0.857,-1.000,-1.000,3.530,0.291,-1.000,-1.000,-1.000,290.8
20020727,11.895,0.559,6.380,0.346,-1.000,-1.000,12.370,0.855,-1.000,-1.000,3.853,0.290,-1.000,-1.000,-1.000,279.6
20020728,11.816,0.558,6.330,0.345,-1.000,-1.000,12.262,0.851,-1.000,-1.000,3.809,0.289,-1.000,-1.000,-1.000,280.3
20020729,11.896,0.556,6.361,0.343,-1.000,-1.000,12.341,0.848,-1.000,-1.000,3.851,0.288,-1.000,-1.000,-1.000,278.3
20020730,10.789,0.553,5.785,0.341,-1.000,-1.000,11.014,0.843,-1.000,-1.000,3.268,0.286,-1.000,-1.000,-1.000,297.5
20020731,10.288,0.551,5.520,0.340,-1.000,-1.000,10.408,0.839,-1.000,-1.000,3.014,0.285,-1.000,-1.000,-1.000,307.1
20020801,10.623,0.550,5.682,0.339,-1.000,-1.000,10.791,0.836,-1.000,-1.000,3.182,0.284,-1.000,-1.000,-1.000,299.3
20020802,10.172,0.548,5.443,0.337,-1.000,-1.000,10.246,0.831,-1.000,-1.000,2.956,0.282,-1.000,-1.000,-1.000,307.9
20020803,11.272,0.548,5.993,0.336,-1.000,-1.000,11.528,0.829,-1.000,-1.000,3.515,0.282,-1.000,-1.000,-1.000,285.2
20020804,10.988,0.546,5.839,0.334,-1.000,-1.000,11.178,0.825,-1.000,-1.000,3.366,0.280,-1.000,-1.000,-1.000,289.6
20020805,11.129,0.544,5.900,0.333,-1.000,-1.000,11.329,0.822,-1.000,-1.000,3.439,0.279,-1.000,-1.000,-1.000,286.1
20020806,10.852,0.542,5.750,0.331,-1.000,-1.000,10.989,0.818,-1.000,-1.000,3.296,0.278,-1.000,-1.000,-1.000,290.3
20020807,11.324,0.541,5.978,0.330,-1.000,-1.000,11.527,0.814,-1.000,-1.000,3.540,0.276,-1.000,-1.000,-1.000,280.8
20020808,11.172,0.539,5.890,0.328,-1.000,-1.000,11.333,0.810,-1.000,-1.000,3.460,0.275,-1.000,-1.000,-1.000,282.5
20020809,10.977,0.537,5.781,0.326,-1.000,-1.000,11.090,0.805,-1.000,-1.000,3.359,0.274,-1.000,-1.000,-1.000,285.1
20020810,10.348,0.534,5.454,0.324,-1.000,-1.000,10.342,0.801,-1.000,-1.000,3.041,0.272,-1.000,-1.000,-1.000,296.3
20020811,11.232,0.534,5.887,0.323,-1.000,-1.000,11.354,0.797,-1.000,-1.000,3.491,0.271,-1.000,-1.000,-1.000,278.4
20020812,10.178,0.530,5.348,0.320,-1.000,-1.000,10.116,0.791,-1.000,-1.000,2.957,0.269,-1.000,-1.000,-1.000,297.6
20020813,10.751,0.529,5.623,0.319,-1.000,-1.000,10.763,0.788,-1.000,-1.000,3.243,0.268,-1.000,-1.000,-1.000,285.0
20020814,10.512,0.527,5.493,0.317,-1.000,-1.000,10.472,0.783,-1.000,-1.000,3.123,0.266,-1.000,-1.000,-1.000,288.4
20020815,10.313,0.524,5.383,0.315,-1.000,-1.000,10.227,0.778,-1.000,-1.000,3.024,0.264,-1.000,-1.000,-1.000,291.2
20020816,10.428,0.522,5.429,0.313,-1.000,-1.000,10.344,0.773,-1.000,-1.000,3.082,0.263,-1.000,-1.000,-1.000,287.7
20020817,10.425,0.520,5.416,0.311,-1.000,-1.000,10.325,0.769,-1.000,-1.000,3.080,0.261,-1.000,-1.000,-1.000,286.5
20020818,10.605,0.518,5.494,0.310,-1.000,-1.000,10.515,0.764,-1.000,-1.000,3.171,0.260,-1.000,-1.000,-1.000,281.7
20020819,10.748,0.516,5.553,0.308,-1.000,-1.000,10.664,0.760,-1.000,-1.000,3.244,0.258,-1.000,-1.000,-1.000,277.8
20020820,11.235,0.514,5.781,0.306,-1.000,-1.000,11.202,0.754,-1.000,-1.000,3.495,0.256,-1.000,-1.000,-1.000,267.9
20020821,11.072,0.512,5.688,0.304,-1.000,-1.000,10.999,0.749,-1.000,-1.000,3.411,0.255,-1.000,-1.000,-1.000,269.4
20020822,10.062,0.508,5.180,0.301,-1.000,-1.000,9.833,0.744,-1.000,-1.000,2.905,0.253,-1.000,-1.000,-1.000,286.9
20020823,10.545,0.506,5.405,0.299,-1.000,-1.000,10.366,0.739,-1.000,-1.000,3.145,0.251,-1.000,-1.000,-1.000,276.1
20020824,10.506,0.504,5.374,0.297,-1.000,-1.000,10.305,0.733,-1.000,-1.000,3.127,0.249,-1.000,-1.000,-1.000,275.3
20020825,9.864,0.500,5.048,0.295,-1.000,-1.000,9.564,0.727,-1.000,-1.000,2.813,0.247,-1.000,-1.000,-1.000,286.5
20020826,9.326,0.497,4.774,0.292,-1.000,-1.000,8.943,0.722,-1.000,-1.000,2.559,0.245,-1.000,-1.000,-1.000,296.7
20020827,9.954,0.495,5.069,0.291,-1.000,-1.000,9.635,0.717,-1.000,-1.000,2.860,0.244,-1.000,-1.000,-1.000,281.5
20020828,9.824,0.492,4.994,0.288,-1.000,-1.000,9.474,0.711,-1.000,-1.000,2.798,0.242,-1.000,-1.000,-1.000,282.5
20020829,9.075,0.489,4.619,0.285,-1.000,-1.000,8.621,0.705,-1.000,-1.000,2.448,0.240,-1.000,-1.000,-1.000,297.4
20020830,9.615,0.487,4.869,0.284,-1.000,-1.000,9.211,0.700,-1.000,-1.000,2.702,0.238,-1.000,-1.000,-1.000,283.5
20020831,9.821,0.484,4.956,0.281,-1.000,-1.000,9.425,0.695,-1.000,-1.000,2.802,0.236,-1.000,-1.000,-1.000,277.5
20020901,9.733,0.481,4.902,0.279,-1.000,-1.000,9.312,0.689,-1.000,-1.000,2.762,0.234,-1.000,-1.000,-1.000,277.5
20020902,9.126,0.478,4.599,0.276,-1.000,-1.000,8.625,0.682,-1.000,-1.000,2.479,0.232,-1.000,-1.000,-1.000,288.8
20020903,9.552,0.475,4.791,0.274,-1.000,-1.000,9.082,0.677,-1.000,-1.000,2.681,0.230,-1.000,-1.000,-1.000,277.6
20020904,8.935,0.471,4.485,0.272,-1.000,-1.000,8.387,0.671,-1.000,-1.000,2.396,0.228,-1.000,-1.000,-1.000,289.3
20020905,9.096,0.468,4.550,0.270,-1.000,-1.000,8.551,0.665,-1.000,-1.000,2.473,0.226,-1.000,-1.000,-1.000,283.6
